"Term";"Term_Token";"POS";"POS_Token";"Is_gold_term";"Mean_predictions";"Mean_predictions_tf";"Prediction_model_tf";"Prediction_model_tf2";"Prediction_model_tf_embe";"Prediction_model_tf_lstm";"Predictions_m_tk";"Prediction_model_tk_1";"Prediction_model_tk_2";"Prediction_model_tk_3";"Predictions_m_vc";"Prediction_model_vc_4";"Prediction_model_vc_5";"Prediction_model_vc_6"
"residency education";"[30, 8, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,61081016";"0,7810012";"0,52326655";"0,61496377";"0,524009";"1";"1";"1";"0";"1";"1";"1";"1"
"rehabilitation sciences";"[9, 233, 0]";"noun noun";"[1, 1, 0]";"True";"1,0";"0,70443296";"0,5257563";"0,7609529";"0,6465137";"0,88450885";"1";"1";"1";"1";"1";"1";"1";"1"
"clinical performance";"[10, 25, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,7053908";"0,35621223";"0,61893";"0,9317791";"0,9146419";"1";"1";"1";"1";"1";"1";"1";"1"
"psychometric theory";"[137, 18, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,5975977";"0,3967213";"0,5871002";"0,5319007";"0,8746687";"1";"1";"1";"0";"1";"1";"1";"1"
"paediatric setting";"[162, 15, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,73104775";"0,3981566";"0,5854666";"0,9494933";"0,9910743";"1";"1";"1";"0";"1";"1";"1";"1"
"recent iteration";"[729, 730, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,6687397";"0,473084";"0,89897466";"0,54190904";"0,7609911";"1";"1";"1";"0";"1";"1";"1";"1"
"neuroscience";"[482, 0, 0]";"noun";"[1, 0, 0]";"True";"0,42857142857142855";"0,35120836";"0,39874992";"0,5032443";"0,3306733";"0,17216592";"1";"1";"1";"0";"1";"1";"1";"1"
"therapy objective";"[1, 262, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,58498484";"0,52264416";"0,69831085";"0,28409067";"0,83489364";"1";"1";"1";"1";"1";"1";"1";"1"
"usable frame";"[620, 156, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,68110555";"0,4068183";"0,8146783";"0,6093129";"0,89361274";"1";"1";"1";"0";"1";"1";"1";"1"
"preferred reporting";"[601, 602, 0]";"verb noun";"[4, 1, 0]";"True";"0,42857142857142855";"0,4957619";"0,47254393";"0,8685974";"0,3961134";"0,24579285";"1";"1";"1";"0";"1";"1";"1";"1"
"task practice condition";"[35, 2, 178]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,9161011";"0,9975308";"0,9999863";"0,6759668";"0,9909205";"1";"1";"1";"1";"1";"1";"1";"1"
"motor recovery stage";"[4, 211, 84]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,87323403";"0,9779847";"0,773231";"0,7720074";"0,9697131";"1";"1";"1";"1";"1";"1";"1";"1"
"author profile";"[650, 229, 0]";"noun noun";"[1, 1, 0]";"False";"0,5714285714285714";"0,5509271";"0,4672432";"0,7407014";"0,4598092";"0,53595454";"1";"1";"1";"0";"1";"1";"1";"1"
"occupational therapy training";"[3, 1, 12]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,8980509";"0,9697521";"0,64838827";"0,97703385";"0,99702924";"1";"1";"1";"1";"1";"1";"1";"1"
"functional intervention";"[46, 7, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,7291806";"0,46169773";"0,53381515";"0,95176744";"0,96944195";"1";"1";"1";"0";"1";"1";"1";"1"
"attainment scaling";"[150, 582, 0]";"adj noun";"[2, 1, 0]";"False";"0,7142857142857143";"0,7371723";"0,604735";"0,99893993";"0,46941644";"0,8755979";"1";"1";"1";"0";"1";"1";"1";"1"
"study time frame";"[27, 604, 156]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,79560375";"0,9415329";"0,9546722";"0,68377835";"0,6024314";"1";"1";"1";"1";"1";"1";"1";"1"
"limit tool";"[598, 53, 0]";"verb noun";"[4, 1, 0]";"False";"0,7142857142857143";"0,6927892";"0,43372038";"0,771919";"0,68912196";"0,8763955";"1";"1";"1";"0";"1";"1";"1";"1"
