"Term";"Term_Token";"POS";"POS_Token";"Is_gold_term";"Mean_predictions";"Mean_predictions_tf";"Prediction_model_tf";"Prediction_model_tf2";"Prediction_model_tf_embe";"Prediction_model_tf_lstm";"Predictions_m_tk";"Prediction_model_tk_1";"Prediction_model_tk_2";"Prediction_model_tk_3";"Predictions_m_vc";"Prediction_model_vc_4";"Prediction_model_vc_5";"Prediction_model_vc_6"
"fonctionnement physique";"[19, 11, 0]";"noun adj";"[1, 2, 0]";"False";"0,7142857142857143";"0,6107409";"0,95898";"0,51420283";"0,385234";"0,5845466";"1";"0";"1";"1";"0";"0";"0";"0"
"capacité résiduelle";"[208, 209, 0]";"noun adj";"[1, 2, 0]";"True";"0,42857142857142855";"0,50762844";"0,46651423";"0,5220582";"0,51300627";"0,52893513";"0";"0";"0";"0";"1";"1";"1";"1"
"potentiel thérapeutique";"[59, 7, 0]";"noun adj";"[1, 2, 0]";"False";"0,8571428571428571";"0,73752695";"0,8202546";"0,5398752";"0,87635666";"0,7136214";"1";"1";"0";"1";"1";"1";"1";"1"
"activités communautaires";"[1, 212, 0]";"noun adj";"[1, 2, 0]";"False";"0,0";"0,27107733";"0,42593744";"0,37305835";"0,061393466";"0,22392012";"1";"0";"0";"0";"0";"0";"0";"0"
"approche multisensorielle";"[6, 303, 0]";"noun adj";"[1, 2, 0]";"True";"0,42857142857142855";"0,602354";"0,3945755";"0,31916553";"0,9091976";"0,78647727";"1";"0";"1";"0";"1";"1";"1";"1"
"description verbale";"[324, 325, 0]";"noun adj";"[1, 2, 0]";"True";"0,2857142857142857";"0,490723";"0,4680887";"0,52628535";"0,52728313";"0,4412349";"0";"0";"0";"0";"1";"1";"1";"1"
"participation active";"[51, 229, 0]";"noun adj";"[1, 2, 0]";"False";"0,5714285714285714";"0,48214117";"0,40189528";"0,44928202";"0,5178789";"0,55950844";"1";"1";"1";"0";"1";"1";"1";"1"
"interventions individuelles";"[34, 80, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,2676434";"0,24653037";"0,4918823";"0,10431707";"0,22784378";"1";"1";"0";"0";"0";"0";"0";"0"
"dysgraphie secondaire";"[81, 342, 0]";"noun adj";"[1, 2, 0]";"True";"0,7142857142857143";"0,5853802";"0,3614425";"0,43195865";"0,8722778";"0,6758418";"1";"1";"1";"1";"1";"1";"1";"1"
"limitations associées";"[31, 228, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,3077404";"0,40026143";"0,4120828";"0,1014702";"0,31714717";"0";"0";"1";"0";"0";"0";"0";"0"
"psychomotricité";"[165, 0, 0]";"noun";"[1, 0, 0]";"True";"0,8571428571428571";"0,5400913";"0,5289942";"0,4760506";"0,581074";"0,5742463";"1";"1";"1";"1";"1";"1";"1";"1"
"éléments figuratifs";"[216, 217, 0]";"noun adj";"[1, 2, 0]";"False";"0,42857142857142855";"0,49223697";"0,46694043";"0,52234983";"0,421019";"0,55863875";"0";"1";"0";"0";"1";"1";"1";"1"
"citoyenneté participative";"[328, 329, 0]";"noun adj";"[1, 2, 0]";"True";"0,2857142857142857";"0,49865115";"0,46809253";"0,52643055";"0,4563165";"0,5437651";"0";"0";"0";"0";"1";"1";"1";"1"
"efficacité personnelle";"[355, 356, 0]";"noun adj";"[1, 2, 0]";"False";"0,7142857142857143";"0,4896523";"0,46810967";"0,52741385";"0,38390622";"0,5791795";"1";"1";"1";"1";"1";"1";"1";"1"
"capacités résiduelles";"[240, 241, 0]";"noun adj";"[1, 2, 0]";"False";"0,7142857142857143";"0,50718004";"0,46763244";"0,5232244";"0,5210334";"0,5168298";"1";"1";"1";"0";"1";"1";"1";"1"
"coordonnateurs";"[227, 0, 0]";"noun";"[1, 0, 0]";"False";"0,42857142857142855";"0,4975469";"0,39450496";"0,4632907";"0,5674045";"0,5649875";"0";"0";"0";"1";"1";"1";"1";"1"
"logiciel informatique";"[348, 349, 0]";"adv adj";"[5, 2, 0]";"True";"0,2857142857142857";"0,49704912";"0,46808976";"0,5300491";"0,43952557";"0,5505321";"0";"0";"0";"0";"1";"1";"1";"1"
"approche coutumière";"[6, 144, 0]";"noun adj";"[1, 2, 0]";"True";"0,7142857142857143";"0,6333615";"0,41538692";"0,42122868";"0,9243789";"0,7724517";"1";"1";"1";"1";"1";"1";"1";"1"
"stats";"[42, 0, 0]";"noun";"[1, 0, 0]";"False";"0,5714285714285714";"0,43568328";"0,46604544";"0,5016415";"0,4297577";"0,3452884";"0";"1";"1";"1";"0";"0";"0";"0"
"amélioration moyenne significative";"[9, 15, 73]";"noun adj adj";"[1, 2, 2]";"False";"0,5714285714285714";"0,4707104";"0,6519542";"0,44675288";"0,43775088";"0,34638357";"1";"1";"1";"1";"0";"0";"0";"0"
"référentiel métier";"[38, 132, 0]";"verb adj";"[3, 2, 0]";"True";"0,7142857142857143";"0,71548325";"0,80135405";"0,4898113";"0,8841328";"0,6866348";"0";"1";"0";"1";"1";"1";"1";"1"
