"Term";"Term_Token";"POS";"POS_Token";"Is_gold_term";"Mean_predictions";"Mean_predictions_tf";"Prediction_model_tf";"Prediction_model_tf2";"Prediction_model_tf_embe";"Prediction_model_tf_lstm";"Predictions_m_tk";"Prediction_model_tk_1";"Prediction_model_tk_2";"Prediction_model_tk_3";"Predictions_m_vc";"Prediction_model_vc_4";"Prediction_model_vc_5";"Prediction_model_vc_6"
"habilidades adquiridas";"[41, 113, 0]";"noun adj";"[1, 2, 0]";"False";"0,42857142857142855";"0,41971147";"0,67447543";"0,534329";"0,21205015";"0,25799137";"0";"0";"1";"0";"0";"0";"0";"0"
"escucha activa";"[194, 195, 0]";"noun adj";"[1, 2, 0]";"True";"0,2857142857142857";"0,43677998";"0,18810432";"0,33003408";"0,5205415";"0,70844007";"0";"0";"0";"0";"1";"0";"0";"0"
"competencias parentales";"[157, 158, 0]";"noun adj";"[1, 2, 0]";"False";"0,2857142857142857";"0,38530213";"0,2498865";"0,367538";"0,51866287";"0,40512112";"0";"0";"1";"0";"1";"0";"0";"0"
"ámbito laboral";"[204, 15, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,36028844";"0,38247326";"0,4913144";"0,29629263";"0,27107352";"0";"0";"0";"1";"0";"0";"0";"0"
"neuro otológico";"[9, 82, 0]";"adj adj";"[2, 2, 0]";"True";"0,42857142857142855";"0,4978279";"0,45974946";"0,50181025";"0,28739762";"0,7423541";"0";"0";"1";"0";"1";"1";"1";"1"
"conocimiento mutuo";"[212, 55, 0]";"noun adj";"[1, 2, 0]";"False";"0,2857142857142857";"0,5837441";"0,44601822";"0,42220792";"0,60498506";"0,86176515";"1";"0";"0";"0";"1";"1";"1";"1"
"apoyo terapéutico";"[74, 20, 0]";"noun adj";"[1, 2, 0]";"True";"1,0";"0,7319429";"0,5586706";"0,50934064";"0,8725084";"0,9872518";"1";"1";"1";"1";"1";"1";"1";"1"
"evidencia existente";"[127, 128, 0]";"verb adj";"[3, 2, 0]";"False";"0,2857142857142857";"0,4658373";"0,32142332";"0,42491302";"0,5849289";"0,532084";"0";"0";"0";"0";"1";"0";"0";"0"
"cuidado laboral";"[54, 15, 0]";"noun adj";"[1, 2, 0]";"False";"0,8571428571428571";"0,607291";"0,5694914";"0,52289104";"0,5516065";"0,785175";"0";"0";"1";"1";"1";"0";"0";"1"
"entorno físico";"[332, 28, 0]";"noun adj";"[1, 2, 0]";"False";"0,0";"0,37070382";"0,1571622";"0,4460893";"0,4950151";"0,3845486";"1";"0";"0";"0";"0";"0";"0";"0"
"antecedentes neuro otológicos";"[260, 9, 72]";"noun noun noun";"[1, 1, 1]";"False";"0,7142857142857143";"0,7025601";"0,96013844";"0,876611";"0,59747386";"0,37601727";"0";"1";"1";"0";"0";"0";"0";"0"
"focalizada";"[350, 0, 0]";"adj";"[2, 0, 0]";"False";"0,0";"0,34948787";"0,19582266";"0,26786342";"0,43716407";"0,4971013";"0";"0";"0";"0";"0";"0";"0";"0"
"bienestar ocupacional";"[35, 1, 0]";"noun adj";"[1, 2, 0]";"True";"0,8571428571428571";"0,6706409";"0,9662348";"0,51916575";"0,46453";"0,73263305";"1";"1";"1";"1";"1";"1";"1";"1"
"cáncer seccional";"[161, 162, 0]";"noun adj";"[1, 2, 0]";"True";"0,2857142857142857";"0,44994813";"0,2429998";"0,36339572";"0,50796336";"0,6854337";"1";"0";"0";"0";"1";"0";"0";"0"
